text,query
police brutality,"Wed Jun 03 2020 New York City, New York - Police shove protesters WATCH: https://t.co/Iybb9HBbhe City #NewYork CityNew York #NYCPD #blacklivesmatter #blm #defundthepolice #abolishthepolice"
police brutality,"Police Brutality is worst in Nigeria rn, My Taxify guy last week was hit by Police team from the back, he parked to complain and the use baton to break his head... People wey suppose dey protect https://t.co/DRW0o2GSy0"
police brutality,"Until we end capitalism, the racist violence of this system won’t change in significant ways. What HAS changed, is the consciousness of people who have participated in struggles against police brutality. This is where people begin to feel their power.https://t.co/GFP6bpkFCK"
police brutality,"Higher Education Campuses should start with these two levers of change to address police brutality:1️⃣ Use existing contracts to demand reform from police departments2️⃣Colleges should reexamine how they manage their own campus police 

https://t.co/igWVRzGOpc."
police brutality,"North are facing bandits/Terrorists, south are facing Police brutality/EFCC/NDLEA when you protest now they will say you want to destabilize the country, no where it's safe in this so called hell country. Make God help us 😥😫
#JusticeforAbiola https://t.co/XSq2vhpvZB"
police brutality,"Same thing happened to my brother and I'll  be happy If this woman gets justice for her son,police brutality is common ekasi #SkhiphaAmafiles"
police brutality,"2020
ASUU strike ✅ 
Police brutality in Osun ✅ 
End Sars protest 

2022
ASSU strike ✅ 
Police brutality in Osun ✅ 
ASUU strike ⏳

Are you thinking what I’m thinking 🤔 #Justiceforabiola"
police brutality,French police brutality under scrutiny https://t.co/s4yLiCiAlv via @YouTube
police brutality,"#JusticeForAbiola

We are tired of police brutality, extortion and harassment in Osogbo."
police brutality,"“Police Brutality” noted in the medical records. 
Are police appointed to protect us? Or hurt us?
Does the police support safety of common man? Or provides immunity to the Govt that cheats the common man? @MahilaCongress @TelanganaPMC @INCTelangana @revanth_anumula https://t.co/pou6NqmSjA"
police brutality,"Alleged Police Brutality: Youths, Civil Societies Protest in Osun https://t.co/uEbyyGDyWF"

WathNikhil Abhinav_Pan
https://t.co/VXwcsZYz5o"
police brutality,"“Police Brutality” 
Are police appointed to protect us? Or hurt us?
Does the police support safety of common man? Or provides immunity to the Govt that cheats the common man?
@MahilaCongress @INCTelangana @revanthofficial @TelanganaPMC https://t.co/5wHFAtytbE"
police brutality,"'दी लल्लनटॉप शो' में आज -

- भारत आज़ादी का अमृत महोत्सव मना रहा है, लेकिन पत्रकार कितने आज़ाद हैं?

- महंगाई को लेकर #RBI गवर्नर ने क्या चिंता जताई है?

 - रेपो रेट नहीं घटा तो आपके लोन पर क्या असर पड़ेगा?
@WathNikhil @Abhinav_Pan
https://t.co/JGnSHRTeyv"
police brutality,"You want to stop police brutality? You stop paying for their law suits with tax payers money. Take it from the officer that's being sued, a payroll deduction. Pay your own bills and the problem is solved. Court ordered so it follows you when you quit"
police brutality,"running from the cops full send, getting tased, and your face eating shit on the pavement is now police brutality

wild"
police brutality,"The saddest thing is that this hashtag #Justiceforabiola would most likely just trend and nothing would be done about this police brutality 😭💔

I’m tired 😴"
police brutality,"If you want to get woke instead of just using a Black Lives Matter hashtag, listen &amp; learn what it's like to be black in America. Learn the root causes of systemic racism &amp; police brutality. These podcasts are very informative. I've learned a lot.
https://t.co/5Rf03PljuZ 20 https://t.co/1xYXvypCWb"
police brutality,"I can only imagine she’s referring to police brutality as an increasingly widely deployed weapon of state-sanctioned oppression in rich democracies, for which neither police nor governments wish to be held accountable. https://t.co/y1mZ2TpChe"
police brutality,"Being a young black person who moves to this city be like: 

1) Holy shit every Marvel movie was filmed here. Nice.

2) Learning about any of the racially charged riots in this city where police brutality was on another level. Shit."
will smith,Free Will Smith https://t.co/FFmMXQ8nTX
will smith,Twitter went nothing but euphoria posts to will smith to tit pics in like a month lmfao
will smith,Oscars governors discuss sanctions for Will Smith over slap https://t.co/mCuE6KmfQA
will smith,I find it wrong that BET &amp; VH-1 have been constantly playing Will Smith shows/movies after he assaulted Chris Rock. Why are you not playing any Chris Rock films? Did Scientology pay you to promote Will?
will smith,I hope my guy Will Smith doing cool today
will smith,JUST IN!!! @Will Smith Enters Luxury REHAB! | Here's WHY! https://t.co/fcxLnPjZi6 via @YouTube
will smith,"“We are seeing increased incidents of what I will call probing,” said David Smith, director of Air Force Plant 42, where Northrop Grumman is building the service's new stealth bomber, the B-21 Raider.

FWIW if I live nearby I would certainly be probing. https://t.co/39xt1KSoKi"
will smith,It feels almost like a Will Smith subtweet… https://t.co/rfj65pfc2H
will smith,"Support Ukraine Free music Peace 4 Ukraine ""Ronnie Jackson"" #music #Spotify, ##Will Smith, #YouTube, #instagram, #music connection, #entertainment, #NAMM 2022. https://t.co/hm0my1ZJB7 ##https://musicmon.wixsite.com/americansolormusic https://t.co/hm0my1ZJB7"
